#idx   R   G   B
  0    0   0   0
  1  144   0 111
  2  141   0 114
  3  138   0 117
  4  135   0 120
  5  132   0 123
  6  129   0 126
  7  126   0 129
  8  123   0 132
  9  120   0 135
 10  117   0 138
 11  114   0 141
 12  111   0 144
 13  108   0 147
 14  105   0 150
 15  102   0 153
 16   99   0 156
 17   96   0 159
 18   93   0 162
 19   90   0 165
 20   87   0 168
 21   84   0 171
 22   81   0 174
 23   78   0 177
 24   75   0 180
 25   72   0 183
 26   69   0 186
 27   66   0 189
 28   63   0 192
 29   60   0 195
 30   57   0 198
 31   54   0 201
 32   51   0 204
 33   48   0 207
 34   45   0 210
 35   42   0 213
 36   39   0 216
 37   36   0 219
 38   33   0 222
 39   30   0 225
 40   27   0 228
 41   24   0 231
 42   21   0 234
 43   18   0 237
 44   15   0 240
 45   12   0 243
 46    9   0 246
 47    6   0 249
 48    0   0 252
 49    0   0 255
 50    0   5 255
 51    0  10 255
 52    0  16 255
 53    0  21 255
 54    0  26 255
 55    0  32 255
 56    0  37 255
 57    0  42 255
 58    0  48 255
 59    0  53 255
 60    0  58 255
 61    0  64 255
 62    0  69 255
 63    0  74 255
 64    0  80 255
 65    0  85 255
 66    0  90 255
 67    0  96 255
 68    0 101 255
 69    0 106 255
 70    0 112 255
 71    0 117 255
 72    0 122 255
 73    0 128 255
 74    0 133 255
 75    0 138 255
 76    0 144 255
 77    0 149 255
 78    0 154 255
 79    0 160 255
 80    0 165 255
 81    0 170 255
 82    0 176 255
 83    0 181 255
 84    0 186 255
 85    0 192 255
 86    0 197 255
 87    0 202 255
 88    0 208 255
 89    0 213 255
 90    0 218 255
 91    0 224 255
 92    0 229 255
 93    0 234 255
 94    0 240 255
 95    0 245 255
 96    0 250 255
 97    0 255 255
 98    0 255 247
 99    0 255 239
100    0 255 231
101    0 255 223
102    0 255 215
103    0 255 207
104    0 255 199
105    0 255 191
106    0 255 183
107    0 255 175
108    0 255 167
109    0 255 159
110    0 255 151
111    0 255 143
112    0 255 135
113    0 255 127
114    0 255 119
115    0 255 111
116    0 255 103
117    0 255  95
118    0 255  87
119    0 255  79
120    0 255  71
121    0 255  63
122    0 255  55
123    0 255  47
124    0 255  39
125    0 255  31
126    0 255  23
127    0 255  15
128    0 255   0
129    8 255   0
130   16 255   0
131   24 255   0
132   32 255   0
133   40 255   0
134   48 255   0
135   56 255   0
136   64 255   0
137   72 255   0
138   80 255   0
139   88 255   0
140   96 255   0
141  104 255   0
142  112 255   0
143  120 255   0
144  128 255   0
145  136 255   0
146  144 255   0
147  152 255   0
148  160 255   0
149  168 255   0
150  176 255   0
151  184 255   0
152  192 255   0
153  200 255   0
154  208 255   0
155  216 255   0
156  224 255   0
157  232 255   0
158  240 255   0
159  248 255   0
160  255 255   0
161  255 251   0
162  255 247   0
163  255 243   0
164  255 239   0
165  255 235   0
166  255 231   0
167  255 227   0
168  255 223   0
169  255 219   0
170  255 215   0
171  255 211   0
172  255 207   0
173  255 203   0
174  255 199   0
175  255 195   0
176  255 191   0
177  255 187   0
178  255 183   0
179  255 179   0
180  255 175   0
181  255 171   0
182  255 167   0
183  255 163   0
184  255 159   0
185  255 155   0
186  255 151   0
187  255 147   0
188  255 143   0
189  255 139   0
190  255 135   0
191  255 131   0
192  255 127   0
193  255 123   0
194  255 119   0
195  255 115   0
196  255 111   0
197  255 107   0
198  255 103   0
199  255  99   0
200  255  95   0
201  255  91   0
202  255  87   0
203  255  83   0
204  255  79   0
205  255  75   0
206  255  71   0
207  255  67   0
208  255  63   0
209  255  59   0
210  255  55   0
211  255  51   0
212  255  47   0
213  255  43   0
214  255  39   0
215  255  35   0
216  255  31   0
217  255  27   0
218  255  23   0
219  255  19   0
220  255  15   0
221  255  11   0
222  255   7   0
223  255   3   0
224  255   0   0
225  250   0   0
226  245   0   0
227  240   0   0
228  235   0   0
229  230   0   0
230  225   0   0
231  220   0   0
232  215   0   0
233  210   0   0
234  205   0   0
235  200   0   0
236  195   0   0
237  190   0   0
238  185   0   0
239  180   0   0
240  175   0   0
241  170   0   0
242  165   0   0
243  160   0   0
244  155   0   0
245  150   0   0
246  145   0   0
247  140   0   0
248  135   0   0
249  130   0   0
250  125   0   0
251  120   0   0
252  115   0   0
253  110   0   0
254  105   0   0
255    0   0   0
