#idx   R   G   B
  0  235 235 235
  1  235 235 235
  2  235 235 235
  3  235 235 235
  4  235 235 235
  5  235 235 235
  6  235 235 235
  7  235 235 235
  8  235 235 235
  9  235 235 235
 10  235 235 235
 11  235 235 235
 12  235 235 235
 13  235 235 235
 14  235 235 235
 15  235 235 235
 16  202 108  32
 17  203 110  34
 18  204 113  36
 19  206 115  38
 20  207 118  39
 21  209 120  41
 22  210 123  43
 23  211 125  45
 24  213 128  47
 25  214 130  49
 26  215 133  50
 27  217 135  52
 28  218 137  54
 29  219 140  56
 30  221 142  58
 31  222 144  59
 32  223 147  61
 33  224 149  63
 34  226 151  64
 35  227 154  66
 36  228 156  67
 37  229 158  69
 38  230 160  71
 39  231 162  72
 40  233 165  74
 41  234 167  75
 42  235 169  76
 43  236 171  78
 44  237 173  79
 45  238 175  81
 46  239 177  82
 47  240 179  83
 48  241 181  85
 49  242 183  86
 50  242 185  87
 51  243 187  88
 52  244 189  89
 53  245 191  90
 54  246 192  91
 55  246 194  92
 56  247 196  93
 57  248 198  94
 58  248 199  95
 59  249 201  96
 60  250 203  97
 61  250 204  98
 62  251 206  99
 63  251 208  99
 64  252 209 100
 65  252 210 101
 66  253 212 101
 67  253 213 102
 68  253 215 102
 69  254 216 103
 70  254 217 103
 71  254 219 103
 72  255 220 104
 73  255 221 104
 74  255 222 104
 75  126 156  44
 76  126 156  44
 77  126 156  44
 78  126 156  44
 79  126 156  44
 80  126 156  44
 81  126 156  44
 82  126 156  44
 83  126 156  44
 84  126 156  44
 85  126 156  44
 86  126 156  44
 87  126 156  44
 88  126 156  44
 89  126 156  44
 90  150 182  19
 91  150 182  19
 92  150 182  19
 93  150 182  19
 94  150 182  19
 95  150 182  19
 96  150 182  19
 97  150 182  19
 98  150 182  19
 99  150 182  19
100  150 182  19
101  150 182  19
102  150 182  19
103  150 182  19
104  150 182  19
105  117 170   0
106  117 170   0
107  117 170   0
108  117 170   0
109  117 170   0
110  117 170   0
111  117 170   0
112  117 170   0
113  117 170   0
114  117 170   0
115  117 170   0
116  117 170   0
117  117 170   0
118  117 170   0
119  117 170   0
120  103 161   0
121  103 161   0
122  103 161   0
123  103 161   0
124  103 161   0
125  103 161   0
126  103 161   0
127  103 161   0
128  103 161   0
129  103 161   0
130  103 161   0
131  103 161   0
132  103 161   0
133  103 161   0
134  103 161   0
135   82 148   0
136   82 148   0
137   82 148   0
138   82 148   0
139   82 148   0
140   82 148   0
141   82 148   0
142   82 148   0
143   82 148   0
144   82 148   0
145   82 148   0
146   82 148   0
147   82 148   0
148   82 148   0
149   82 148   0
150   61 134   1
151   61 134   1
152   61 134   1
153   61 134   1
154   61 134   1
155   61 134   1
156   61 134   1
157   61 134   1
158   61 134   1
159   61 134   1
160   61 134   1
161   61 134   1
162   61 134   1
163   61 134   1
164   61 134   1
165   28 115   1
166   28 115   1
167   28 115   1
168   28 115   1
169   28 115   1
170   28 115   1
171   28 115   1
172   28 115   1
173   28 115   1
174   28 115   1
175   28 115   1
176   28 115   1
177   28 115   1
178   28 115   1
179   28 115   1
180    0  95   1
181    0  95   1
182    0  95   1
183    0  95   1
184    0  95   1
185    0  95   1
186    0  95   1
187    0  95   1
188    0  95   1
189    0  95   1
190    0  95   1
191    0  95   1
192    0  95   1
193    0  95   1
194    0  95   1
195    0  72   0
196    0  72   0
197    0  72   0
198    0  72   0
199    0  72   0
200    0  72   0
201    0  72   0
202    0  72   0
203    0  72   0
204    0  72   0
205    0  72   0
206    0  72   0
207    0  72   0
208    0  72   0
209    0  72   0
210    2  55   1
211    2  55   1
212    2  55   1
213    2  55   1
214    2  55   1
215    2  55   1
216    2  55   1
217    2  55   1
218    2  55   1
219    2  55   1
220    2  55   1
221    2  55   1
222    2  55   1
223    2  55   1
224    2  55   1
225    0  41   1
226    0  41   1
227    0  41   1
228    0  41   1
229    0  41   1
230    0  41   1
231    0  41   1
232    0  41   1
233    0  41   1
234    0  41   1
235    0  41   1
236    0  41   1
237    0  41   1
238    0  41   1
239    0  41   1
240    1  19   1
241    1  19   1
242    1  19   1
243    1  19   1
244    1  19   1
245    1  19   1
246    1  19   1
247    1  19   1
248    1  19   1
249    1  19   1
250    1  19   1
251    1  19   1
252    1  19   1
253    1  19   1
254  235 235 235
255    0   0   0
