#idx   R   G   B
  0   91  10 118
  1   99   9 139
  2  112   7 171
  3  124   7 202
  4  130   7 223
  5  128   7 234
  6  120   7 238
  7  110   7 238
  8  100   7 239
  9   88   7 239
 10   73   7 239
 11   54   7 239
 12   34   8 238
 13   18   8 236
 14   11   8 233
 15    8   8 228
 16    8   8 224
 17    8   8 221
 18    8   8 217
 19    8   8 212
 20    8   8 207
 21    8   8 201
 22    8   8 196
 23    8   8 191
 24    8   8 185
 25    8   8 179
 26    8   8 173
 27    8   8 166
 28    8   8 159
 29    8   8 153
 30    8  11 147
 31    8  16 139
 32    8  23 130
 33    8  30 121
 34    8  38 114
 35    8  46 109
 36    8  54 106
 37    8  62 104
 38    8  70 104
 39    8  78 104
 40    8  86 106
 41    8  93 107
 42    8  98 109
 43    8 100 112
 44    8  99 114
 45    8  98 117
 46    8  97 122
 47    8  98 130
 48    8 101 139
 49    8 104 147
 50    8 108 152
 51    8 113 155
 52    8 118 157
 53    8 123 158
 54    8 128 159
 55    8 133 159
 56    8 136 160
 57    8 140 162
 58    8 145 163
 59    8 150 165
 60    8 156 166
 61    8 161 167
 62    8 166 169
 63    8 172 172
 64    8 177 177
 65    8 182 182
 66    8 187 187
 67    8 192 192
 68    8 197 197
 69    8 200 200
 70    8 204 204
 71    8 209 209
 72    8 213 213
 73    8 216 216
 74    8 219 219
 75    8 222 222
 76    8 225 225
 77    8 227 227
 78    8 230 230
 79    8 233 233
 80    8 235 235
 81    8 237 236
 82    8 238 234
 83    8 238 229
 84    8 238 223
 85    8 237 216
 86    8 235 209
 87    8 234 202
 88    8 232 192
 89    8 231 178
 90    8 230 162
 91    8 229 147
 92    8 227 133
 93    8 226 123
 94    8 224 116
 95    8 221 114
 96    8 219 114
 97    8 216 115
 98    8 213 117
 99    8 209 118
100    8 204 118
101    8 199 117
102    8 193 115
103    8 188 112
104    8 184 107
105    8 181  99
106    8 178  91
107    8 175  84
108    8 172  81
109    8 169  80
110    8 164  80
111    8 159  80
112    8 153  80
113    8 148  79
114    8 143  79
115    8 138  79
116    8 134  78
117    8 132  75
118    8 134  70
119    8 137  63
120    8 140  56
121    8 140  48
122    8 139  37
123    9 138  24
124   14 139  14
125   24 141   9
126   37 146   8
127   47 151   8
128   52 156   8
129   55 161   8
130   57 166   8
131   60 172   8
132   65 177   8
133   70 182   8
134   75 187   8
135   80 192   8
136   85 196   8
137   89 199   8
138   95 201   8
139  103 204   8
140  110 206   8
141  118 209   8
142  126 211   8
143  134 214   8
144  142 217   8
145  151 219   8
146  160 222   8
147  169 225   8
148  179 227   8
149  187 229   8
150  195 230   8
151  205 230   8
152  215 230   8
153  223 229   8
154  226 227   8
155  225 224   8
156  224 221   8
157  224 217   8
158  224 211   8
159  224 205   8
160  224 198   8
161  224 191   8
162  224 185   8
163  224 180   8
164  224 174   8
165  224 166   8
166  224 159   8
167  224 151   8
168  224 143   8
169  224 135   8
170  224 127   8
171  224 119   8
172  224 111   8
173  224 103   8
174  224  95   8
175  224  89   8
176  224  84   8
177  224  78   8
178  223  70   8
179  223  63   8
180  223  55   8
181  222  46   8
182  221  37   8
183  219  28   8
184  216  19   8
185  213  12   8
186  209   9   8
187  204   8   8
188  200   8   8
189  196   8   8
190  190   8   8
191  182   8   8
192  175   8   8
193  167   8   8
194  159   8   8
195  151   8   8
196  143   8   8
197  135   8   8
198  127   8   8
199  120   8   8
200  115   8   8
201  110   8   8
202  104   8   8
203  108  13  13
204  112  19  19
205  114  22  22
206  115  26  26
207  118  30  30
208  119  34  33
209  121  38  38
210  123  41  41
211  125  45  45
212  127  49  49
213  128  52  53
214  130  56  56
215  132  60  60
216  134  64  63
217  136  67  67
218  138  71  70
219  140  75  74
220  142  79  78
221  143  82  82
222  145  85  85
223  147  89  90
224  149  93  93
225  150  97  97
226  152 100 100
227  154 104 104
228  156 107 108
229  158 112 111
230  160 115 115
231  162 119 119
232  164 123 123
233  165 126 126
234  168 130 130
235  169 134 134
236  170 138 137
237  173 141 141
238  175 145 145
239  176 149 149
240  178 153 153
241  181 156 156
242  182 159 159
243  183 163 163
244  185 167 167
245  188 170 171
246  190 174 174
247  191 178 178
248  193 182 182
249  195 185 185
250  197 189 189
251  199 192 193
252  200 197 197
253  202 200 201
254  204 204 204
255    0   0   0
