#idx   R   G   B
  0  109  56   1
  1  111  59   1
  2  113  63   2
  3  116  66   3
  4  118  70   4
  5  121  74   4
  6  123  78   6
  7  126  81   6
  8  129  85   7
  9  132  89   7
 10  134  93   9
 11  137  97   9
 12  139 101  10
 13  142 105  11
 14  144 109  12
 15  146 112  13
 16  149 116  13
 17  152 120  14
 18  154 123  15
 19  156 127  16
 20  160 131  16
 21  163 136  17
 22  165 139  18
 23  167 143  19
 24  170 147  20
 25  173 151  20
 26  175 154  22
 27  177 158  22
 28  180 162  23
 29  182 166  24
 30  185 170  24
 31  187 174  26
 32  190 178  26
 33  193 182  27
 34  196 185  27
 35  198 189  29
 36  201 192  29
 37  203 197  30
 38  206 200  31
 39  208 204  32
 40  211 208  33
 41  208 209  33
 42  203 206  32
 43  199 204  31
 44  194 202  30
 45  188 200  30
 46  184 197  29
 47  179 195  28
 48  174 193  27
 49  168 191  26
 50  163 189  26
 51  158 187  24
 52  153 185  24
 53  148 182  23
 54  142 180  22
 55  137 178  21
 56  132 176  21
 57  127 173  20
 58  122 170  19
 59  116 169  19
 60  111 167  17
 61  106 164  17
 62  101 161  16
 63   96 159  15
 64   90 158  14
 65   85 155  13
 66   80 153  13
 67   75 151  12
 68   70 149  11
 69   64 146  10
 70   59 144   9
 71   54 142   9
 72   50 140   7
 73   45 137   7
 74   38 135   6
 75   33 133   6
 76   29 131   4
 77   24 128   4
 78   17 126   3
 79   12 124   2
 80    8 122   1
 81    3 119   0
 82    0 121   5
 83    0 124  10
 84    0 127  16
 85    0 130  22
 86    0 133  28
 87    0 137  34
 88    0 140  40
 89    0 143  46
 90    0 146  52
 91    0 150  59
 92    0 153  65
 93    0 156  71
 94    0 160  78
 95    0 164  84
 96    0 166  90
 97    0 170  96
 98    0 173 103
 99    0 177 109
100    0 180 115
101    0 183 121
102    0 187 128
103    0 190 134
104    0 193 140
105    0 196 146
106    0 200 153
107    0 204 159
108    0 206 165
109    0 210 171
110    0 214 177
111    0 217 184
112    0 220 190
113    0 223 196
114    0 227 202
115    0 230 209
116    0 233 215
117    0 237 221
118    0 240 227
119    0 244 234
120    0 247 240
121    0 250 246
122    0 253 252
123    0 250 255
124    0 245 255
125    0 239 255
126    0 233 255
127    0 228 255
128    0 221 255
129    0 215 255
130    0 209 255
131    0 203 255
132    0 196 255
133    0 190 255
134    0 184 255
135    0 178 255
136    0 172 255
137    0 166 255
138    0 160 255
139    0 152 255
140    0 146 255
141    0 140 255
142    0 134 255
143    0 127 255
144    0 121 255
145    0 115 255
146    0 109 255
147    0 102 255
148    0  96 255
149    0  90 255
150    0  84 255
151    0  78 255
152    0  71 255
153    0  65 255
154    0  59 255
155    0  53 255
156    0  46 255
157    0  40 255
158    0  34 255
159    0  28 255
160    0  21 255
161    0  15 255
162    0   9 255
163    0   3 255
164    2   2 255
165    4   3 255
166    7   5 255
167   10   8 255
168   12  10 255
169   15  12 255
170   18  14 255
171   20  16 255
172   23  18 255
173   26  20 255
174   29  23 255
175   31  25 255
176   34  27 255
177   37  29 255
178   39  31 255
179   42  33 255
180   45  35 255
181   48  37 255
182   50  40 255
183   53  42 255
184   56  44 255
185   58  46 255
186   61  48 255
187   64  50 255
188   66  52 255
189   69  55 255
190   72  57 255
191   75  59 255
192   77  61 255
193   80  63 255
194   83  65 255
195   85  67 255
196   88  69 255
197   91  72 255
198   93  74 255
199   96  76 255
200   99  78 255
201  102  80 255
202  104  82 255
203  107  84 255
204  110  87 255
205  112  89 255
206  115  91 255
207  118  93 255
208  121  95 255
209  122  96 254
210  121  95 250
211  120  93 246
212  118  91 241
213  117  88 237
214  115  86 232
215  113  84 228
216  112  82 224
217  110  80 219
218  109  78 215
219  107  76 210
220  106  73 206
221  104  71 201
222  102  69 197
223  101  67 192
224   99  65 188
225   98  63 183
226   96  61 179
227   94  59 174
228   93  56 170
229   91  54 165
230   90  52 161
231   88  50 156
232   87  48 152
233   85  46 147
234   83  44 143
235   82  41 138
236   80  39 134
237   79  37 129
238   77  35 125
239   75  33 120
240   74  31 116
241   72  29 111
242   71  27 107
243   69  24 102
244   68  22  98
245   66  20  93
246   64  18  89
247   63  16  84
248   61  14  80
249   60  12  76
250   58  10  71
251   56   7  66
252   55   5  62
253   53   3  58
254   52   1  53
255    0   0   0
